Timestamp,When did you get your PhD?,PhD01,"In what year did you first apply for tenure track positions or their equivalents? (Give your answer in terms of years post-PhD; if you applied while still a PhD student, choose ""0"")",FirstApplied01,FirstApplied01NY,"In what year did you get your first on campus interview? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstInterview01,FirstInterview01NY,"In what year did you get your first tenure track job offer? (Give your answer in terms of years post-PhD; if it was while you were still a PhD student, choose ""0"")",FirstOffer01,FirstOffer01NY,Which of the following options made you decide to wait a year (or more) to apply? (Choose up to 3),Gender
2/27/2017 14:08:32,2017,2017,0,0,0,0,0,0,?,?,?,"already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 13:51:13,2012,2012,1,1,1,2,2,2,3,3,3,"already committed to a fixed term position (e.g., a postdoctoral position), felt that a few years of postdoc was necessary to be competitive on the market",Female
3/1/2017 9:54:08,2009,2009,2,2,2,3,3,3,4,4,4,"already committed to a fixed term position (e.g., a postdoctoral position), waited till a position fitting my competences was advertised",Female
3/14/2017 17:01:49,2016,2016,0,0,0,1,1,1,I haven't received a tenure track job offer yet,?,NY,"already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position, Applied when good opportunities arose",Female
2/28/2017 8:04:04,2011,2011,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,Did apply right away then decided to go another path. Not everyone goes TT and that is ok. More polls on that and the challenges these researchers face?,Female
2/27/2017 20:20:26,2005,2005,4,4,4,5,5,5,5,5,5,"family responsibilities (including children, eldercare, etc.)",Female
3/6/2017 9:12:34,2016,2016,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,"family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 14:01:18,2014,2014,2,2,2,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 10:57:35,2012,2012,0,0,0,2,2,2,I haven't received a tenure track job offer yet,?,NY,"family responsibilities (including children, eldercare, etc.), advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 13:12:55,2009,2009,3,3,3,?,?,?,?,?,?,"family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:50:31,2006,2006,3,3,3,3,3,3,3,3,3,"family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:51:36,2015,2015,2,2,2,2,2,2,2,2,2,"family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 10:12:37,2005,2005,1,1,1,1,1,1,6,6,6,"family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there",Female
2/27/2017 11:35:03,2015,2015,0,0,0,1,1,1,I haven't received a tenure track job offer yet,?,NY,I did not wait a year,Female
2/27/2017 15:45:17,2017,2017,0,0,0,0,0,0,0,0,0,I did not wait a year or more. I felt qualified and did not see the point in postponing a TT position for a temporary one.  ,Female
2/28/2017 22:03:29,2013,2013,1,1,1,1,1,1,I haven't received a tenure track job offer yet,?,NY,I didn't know I could. I thought I'd only be competitive after postdoctoral work. I wish I'd started applying sooner.,Female
2/27/2017 9:41:04,2014,2014,0,0,0,0,0,0,I haven't received a tenure track job offer yet,?,NY,I didn't wait!,Female
2/28/2017 16:13:58,2014,2014,1,1,1,2,2,2,3,3,3,I started applying as soon as relevant jobs were posted in my geographic area of interest.,Female
3/3/2017 8:53:40,2018 or later,2018,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"I'm not there yet, but would probably try for a postdoc that offered the opportunity to develop and teach a full class before applying for TT jobs.  ",Female
2/27/2017 18:56:50,2007,2007,1,1,1,1,1,1,1,1,1,it took a while to work up the courage to put myself out there,Female
2/27/2017 10:04:47,2013,2013,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,it took a while to work up the courage to put myself out there,Female
2/27/2017 21:28:32,2005,2005,2,2,2,2,2,2,2,2,2,"it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 13:47:24,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
3/2/2017 10:55:48,2015,2015,2,2,2,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Female
2/27/2017 14:01:42,2006,2006,1,1,1,4,4,4,4,4,4,right position advertised,Female
2/27/2017 20:25:35,2011,2011,1,1,1,4,4,4,4,4,4,Waited until a position in my field was open,Female
2/28/2017 8:47:27,2013,2013,3,3,3,3,3,3,I haven't received a tenure track job offer yet,?,NY,"waited until had more grants or other funding, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 11:46:15,2012,2012,4,4,4,5,5,5,5,5,5,"waited until had more grants or other funding, family responsibilities (including children, eldercare, etc.), already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:36:16,2006,2006,5,5,5,5,5,5,5,5,5,"waited until had more grants or other funding, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, Main reason - I wanted to wrap up one project and get a leg up on the next before applying. Also I was a postdoc when the economy tanked so I waited for the upswing.",Female
2/27/2017 22:12:35,2010,2010,1,1,1,1,1,1,1,1,1,waited until had more publications,Female
2/27/2017 12:36:52,?,?,1,1,1,2,2,2,2,2,2,waited until had more publications,Female
2/27/2017 18:11:43,2009,2009,2,2,2,2,2,2,3,3,3,waited until had more publications,Female
2/27/2017 20:22:54,2002,2002,4,4,4,4,4,4,4,4,4,waited until had more publications,Female
2/27/2017 11:41:16,2012,2012,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had more publications,Female
2/27/2017 13:00:29,2013,2013,1,1,1,1,1,1,I haven't received a tenure track job offer yet,?,NY,waited until had more publications,Female
2/27/2017 9:55:53,2012,2012,4,4,4,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,waited until had more publications,Female
2/27/2017 15:27:27,2013,2013,1,1,1,2,2,2,3,3,3,"waited until had more publications, advice from other mentors, it took a while to work up the courage to put myself out there",Female
2/27/2017 9:46:57,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from other mentors, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 10:38:29,2011,2011,1,1,1,1,1,1,2,2,2,"waited until had more publications, advice from PhD or postdoc advisor",Female
2/27/2017 10:22:29,2011,2011,3,3,3,3,3,3,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from PhD or postdoc advisor",Female
2/28/2017 21:15:55,2011,2011,3,3,3,4,4,4,4,4,4,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors",Female
2/28/2017 5:50:00,2013,2013,I haven't applied yet,?,NY,?,?,?,?,?,?,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 11:19:17,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from PhD or postdoc advisor, advice from other mentors, Seems helpful to have more time without administration duties to think about my research ",Female
2/27/2017 13:27:32,2009,2009,1,1,1,2,2,2,2,2,2,"waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 13:46:21,2008,2008,2,2,2,4,4,4,5,5,5,"waited until had more publications, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 2:00:02,2006,2006,5,5,5,6,6,6,6,6,6,"waited until had more publications, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there",Female
2/27/2017 19:44:23,2012,2012,2,2,2,2,2,2,3,3,3,"waited until had more publications, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position, From a European perspective I applied extremely early, encouraged by my postdoc adviser.",Female
2/27/2017 16:28:57,2012,2012,6,6,6,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position",Female
2/27/2017 21:52:09,2015,2015,1,1,1,1,1,1,1,1,1,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:48:35,1997,1997,3,3,3,3,3,3,3,3,3,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:49:21,2009,2009,1,1,1,1,1,1,1,1,1,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 12:41:51,2007,2007,2,2,2,2,2,2,2,2,2,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/28/2017 8:53:28,2008,2008,3,3,3,4,4,4,4,4,4,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 10:23:18,2014,2014,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/28/2017 16:17:11,2001,2001,2,2,2,2,2,2,2,2,2,"waited until had more publications, already committed to a fixed term position (e.g., a postdoctoral position), wasn't interested in a permanent position yet",Female
2/27/2017 13:12:34,2011,2011,0,0,0,0,0,0,0,0,0,"waited until had more publications, Didn't get a good offer",Female
2/27/2017 21:01:34,2013,2013,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 16:01:03,2013,2013,2,2,2,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 10:47:13,2015,2015,I haven't applied yet,?,NY,?,?,?,?,?,?,"waited until had more publications, family responsibilities (including children, eldercare, etc.)",Female
2/27/2017 10:36:31,before 1996,1990,3,3,3,4,4,4,5,5,5,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there",Female
3/15/2017 22:48:26,2014,2014,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there",Female
2/27/2017 20:22:13,2011,2011,2,2,2,3,3,3,4,4,4,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:49:10,2011,2011,4,4,4,4,4,4,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.), it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:59:17,2013,2013,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, family responsibilities (including children, eldercare, etc.), wanted postdoc experience",Female
2/27/2017 16:12:35,2014,2014,1,1,1,1,1,1,1,1,1,"waited until had more publications, it took a while to work up the courage to put myself out there",Female
2/27/2017 9:59:01,2011,2011,2,2,2,3,3,3,3,3,3,"waited until had more publications, it took a while to work up the courage to put myself out there",Female
3/3/2017 8:13:48,2011,2011,5,5,5,5,5,5,5,5,5,"waited until had more publications, it took a while to work up the courage to put myself out there",Female
3/2/2017 15:01:33,2015,2015,0,0,0,2,2,2,2,2,2,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:50:22,2014,2014,2,2,2,3,3,3,3,3,3,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 15:16:40,2013,2013,3,3,3,3,3,3,3,3,3,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 14:39:37,2012,2012,4,4,4,4,4,4,4,4,4,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 15:11:38,2009,2009,2,2,2,3,3,3,5,5,5,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 16:16:21,2009,2009,4,4,4,7,7,7,7,7,7,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 3:25:59,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 14:17:12,2014,2014,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position), wanted to explore a new research area before committing to TT position",Female
2/27/2017 11:51:24,2015,2015,1,1,1,2,2,2,2,2,2,"waited until had more publications, it took a while to work up the courage to put myself out there, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 12:00:38,2012,2012,1,1,1,2,2,2,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Female
2/27/2017 10:39:49,2010,2010,4,4,4,6,6,6,6,6,6,"waited until had more publications, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Female
2/27/2017 14:07:40,2011,2011,3,3,3,3,3,3,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, Tired of applying for postdocs",Female
2/27/2017 15:23:09,2009,2009,4,4,4,4,4,4,5,5,5,"waited until had more publications, waited until had more grants or other funding",Female
3/1/2017 15:58:47,2010,2010,5,5,5,5,5,5,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding",Female
2/28/2017 9:41:16,2015,2015,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding",Female
2/28/2017 2:14:18,2011,2011,3,3,3,6,6,6,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, advice from other mentors, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 17:41:55,2011,2011,5,5,5,5,5,5,6,6,6,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor",Female
2/27/2017 20:58:09,2008,2008,3,3,3,4,4,4,4,4,4,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 13:42:30,2011,2011,4,4,4,4,4,4,4,4,4,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, advice from other mentors, it took a while to work up the courage to put myself out there, wanted to explore a new research area before committing to TT position",Female
3/1/2017 4:08:08,2009,2009,4,4,4,5,5,5,5,5,5,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:43:03,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, advice from PhD or postdoc advisor, it took a while to work up the courage to put myself out there, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:57:45,2013,2013,3,3,3,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 5:57:14,2013,2013,4,4,4,4,4,4,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/28/2017 6:31:29,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there, wanted to explore a new geographic area before committing to a TT position, waited for more experience mentoring younger students",Female
3/6/2017 16:10:04,2013,2013,2,2,2,2,2,2,2,2,2,"waited until had more publications, waited until had more grants or other funding, it took a while to work up the courage to put myself out there, wasn't interested in a permanent position yet",Female
2/27/2017 22:41:37,2010,2010,3,3,3,4,4,4,4,4,4,"waited until had more publications, waited until had more grants or other funding, Necessitated by field",Female
2/27/2017 10:03:49,2012,2012,5,5,5,0,0,0,0,0,0,"waited until had more publications, waited until had more grants or other funding, Part driven by absence of advice to start applying, only recently received advice to start",Female
2/27/2017 12:50:21,2016,2016,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, waited until had more grants or other funding, Time in a postdoc is a unique opportunity to really focus on research",Female
2/27/2017 15:38:08,2016,2016,?,?,?,?,?,?,?,?,?,"waited until had more publications, waited until had more grants or other funding, wanted to explore non-tenure track options (e.g., policy, industry)",Female
2/27/2017 23:39:09,2012,2012,0,0,0,3,3,3,3,3,3,"waited until had more publications, wanted to explore a new research area before committing to TT position, Waited for the right position with a good fit to my interests",Female
2/27/2017 14:03:59,2016,2016,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, wanted to explore non-tenure track options (e.g., policy, industry)",Female
2/27/2017 9:52:28,2005,2005,3,3,3,4,4,4,4,4,4,"waited until had more publications, wasn't interested in a permanent position yet, Had high paying 4 yr usda postdoc",Female
2/27/2017 20:52:59,2011,2011,5,5,5,5,5,5,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, wasn't interested in a permanent position yet, wanted to explore a new geographic area before committing to a TT position",Female
2/27/2017 9:50:24,2014,2014,2,2,2,2,2,2,2,2,2,"waited until had more publications, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Female
2/28/2017 9:40:31,2013,2013,I haven't applied yet,?,NY,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had more publications, wasn't interested in a permanent position yet, wanted to explore a new research area before committing to TT position",Female
2/28/2017 9:00:00,2008,2008,1,1,1,2,2,2,2,2,2,waited until had received PhD,Female
2/27/2017 10:53:21,1999,1999,1,1,1,2,2,2,3,3,3,waited until had received PhD,Female
2/28/2017 8:27:04,2014,2014,1,1,1,2,2,2,3,3,3,waited until had received PhD,Female
2/28/2017 19:04:12,2013,2013,1,1,1,2,2,2,2,2,2,"waited until had received PhD, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 14:41:26,2013,2013,1,1,1,1,1,1,1,1,1,"waited until had received PhD, advice from PhD or postdoc advisor",Female
2/27/2017 20:20:49,2015,2015,1,1,1,1,1,1,1,1,1,"waited until had received PhD, advice from PhD or postdoc advisor, advice from other mentors",Female
2/27/2017 11:51:31,1998,1998,1,1,1,1,1,1,1,1,1,"waited until had received PhD, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 10:17:42,2005,2005,1,1,1,2,2,2,2,2,2,"waited until had received PhD, advice from PhD or postdoc advisor, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 11:41:27,2006,2006,1,1,1,1,1,1,1,1,1,"waited until had received PhD, advice from PhD or postdoc advisor, wanted to explore a new research area before committing to TT position",Female
2/28/2017 16:05:13,2012,2012,1,1,1,1,1,1,1,1,1,"waited until had received PhD, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:47:03,2016,2016,1,1,1,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 12:26:09,2010,2010,2,2,2,2,2,2,8,8,8,"waited until had received PhD, family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor",Female
2/27/2017 12:07:52,2015,2015,0,0,0,I haven't gotten an on campus interview yet,?,NY,I haven't received a tenure track job offer yet,?,NY,"waited until had received PhD, family responsibilities (including children, eldercare, etc.), advice from PhD or postdoc advisor, advice from other mentors, already committed to a fixed term position (e.g., a postdoctoral position)",Female
2/27/2017 9:58:08,2015,2015,1,1,1,1,1,1,1,1,1,"waited until had received PhD, I applied (earlier than I expected) to one job, which was an ideal fit and location, and ended up getting it ",Female
